database,schema,table,column
RAW_DATA,PUBLIC,PRODUCTS,CREATED_AT
RAW_DATA,PUBLIC,PRODUCTS,ID
RAW_DATA,PUBLIC,PRODUCTS,MAKE
RAW_DATA,PUBLIC,PRODUCTS,MODEL
RAW_DATA,PUBLIC,PRODUCTS,PRICE
RAW_DATA,PUBLIC,PRODUCTS,UPDATED_AT
RAW_DATA,PUBLIC,PRODUCTS,YEAR
RAW_DATA,PUBLIC,PRODUCTS,_AIRBYTE_EXTRACTED_AT
RAW_DATA,PUBLIC,PRODUCTS,_AIRBYTE_META
RAW_DATA,PUBLIC,PRODUCTS,_AIRBYTE_RAW_ID
RAW_DATA,PUBLIC,PURCHASES,ADDED_TO_CART_AT
RAW_DATA,PUBLIC,PURCHASES,CREATED_AT
RAW_DATA,PUBLIC,PURCHASES,ID
RAW_DATA,PUBLIC,PURCHASES,PRODUCT_ID
RAW_DATA,PUBLIC,PURCHASES,PURCHASED_AT
RAW_DATA,PUBLIC,PURCHASES,RETURNED_AT
RAW_DATA,PUBLIC,PURCHASES,UPDATED_AT
RAW_DATA,PUBLIC,PURCHASES,USER_ID
RAW_DATA,PUBLIC,PURCHASES,_AIRBYTE_EXTRACTED_AT
RAW_DATA,PUBLIC,PURCHASES,_AIRBYTE_META
RAW_DATA,PUBLIC,PURCHASES,_AIRBYTE_RAW_ID
RAW_DATA,PUBLIC,USERS,ACADEMIC_DEGREE
RAW_DATA,PUBLIC,USERS,ADDRESS
RAW_DATA,PUBLIC,USERS,AGE
RAW_DATA,PUBLIC,USERS,BLOOD_TYPE
RAW_DATA,PUBLIC,USERS,CREATED_AT
RAW_DATA,PUBLIC,USERS,EMAIL
RAW_DATA,PUBLIC,USERS,GENDER
RAW_DATA,PUBLIC,USERS,HEIGHT
RAW_DATA,PUBLIC,USERS,ID
RAW_DATA,PUBLIC,USERS,LANGUAGE
RAW_DATA,PUBLIC,USERS,NAME
RAW_DATA,PUBLIC,USERS,NATIONALITY
RAW_DATA,PUBLIC,USERS,OCCUPATION
RAW_DATA,PUBLIC,USERS,TELEPHONE
RAW_DATA,PUBLIC,USERS,TITLE
RAW_DATA,PUBLIC,USERS,UPDATED_AT
RAW_DATA,PUBLIC,USERS,WEIGHT
RAW_DATA,PUBLIC,USERS,_AIRBYTE_EXTRACTED_AT
RAW_DATA,PUBLIC,USERS,_AIRBYTE_META
RAW_DATA,PUBLIC,USERS,_AIRBYTE_RAW_ID
TRANSFORMED_DATA,PUBLIC,PRODUCT_POPULARITY,ID
TRANSFORMED_DATA,PUBLIC,PRODUCT_POPULARITY,MAKE
TRANSFORMED_DATA,PUBLIC,PRODUCT_POPULARITY,MODEL
TRANSFORMED_DATA,PUBLIC,PRODUCT_POPULARITY,PURCHASE_COUNT
TRANSFORMED_DATA,PUBLIC,PURCHASE_PATTERNS,ADDED_TO_CART_AT
TRANSFORMED_DATA,PUBLIC,PURCHASE_PATTERNS,PRODUCT_ID
TRANSFORMED_DATA,PUBLIC,PURCHASE_PATTERNS,PURCHASED_AT
