YEAR,ZIP,STATE,POPULATION,PREV_YEAR_POPULATION,PCT_GROWTH,ABSOLUTE_CHANGE
2012,zip/85140,Arizona,32540,27570,0.1802684077,4970
2012,zip/32162,Florida,43460,36887,0.1781928593,6573
2012,zip/77494,Texas,64378,55808,0.1535622133,8570
2012,zip/77407,Texas,29180,25554,0.1418955936,3626
2012,zip/77433,Texas,51200,44962,0.1387393799,6238
2012,zip/70122,Louisiana,29038,25598,0.1343854989,3440
2012,zip/20148,Virginia,28440,25533,0.1138526613,2907
2012,zip/85138,Arizona,31722,28499,0.1130916874,3223
2012,zip/78108,Texas,28572,25797,0.1075706477,2775
2012,zip/77406,Texas,34513,31325,0.1017717478,3188
