"film_id","category_id","last_update"
1,6,"2022-02-15 13:07:09+03"
2,11,"2022-02-15 13:07:09+03"
3,6,"2022-02-15 13:07:09+03"
4,11,"2022-02-15 13:07:09+03"
5,8,"2022-02-15 13:07:09+03"
6,9,"2022-02-15 13:07:09+03"
7,5,"2022-02-15 13:07:09+03"
8,11,"2022-02-15 13:07:09+03"
9,11,"2022-02-15 13:07:09+03"
10,15,"2022-02-15 13:07:09+03"
11,9,"2022-02-15 13:07:09+03"
12,12,"2022-02-15 13:07:09+03"
13,11,"2022-02-15 13:07:09+03"
14,4,"2022-02-15 13:07:09+03"
15,9,"2022-02-15 13:07:09+03"
16,9,"2022-02-15 13:07:09+03"
17,12,"2022-02-15 13:07:09+03"
18,2,"2022-02-15 13:07:09+03"
19,1,"2022-02-15 13:07:09+03"
20,12,"2022-02-15 13:07:09+03"
21,1,"2022-02-15 13:07:09+03"
22,13,"2022-02-15 13:07:09+03"
23,2,"2022-02-15 13:07:09+03"
24,11,"2022-02-15 13:07:09+03"
25,13,"2022-02-15 13:07:09+03"
26,14,"2022-02-15 13:07:09+03"
27,15,"2022-02-15 13:07:09+03"
28,5,"2022-02-15 13:07:09+03"
29,1,"2022-02-15 13:07:09+03"
30,11,"2022-02-15 13:07:09+03"
31,8,"2022-02-15 13:07:09+03"
32,13,"2022-02-15 13:07:09+03"
33,7,"2022-02-15 13:07:09+03"
34,11,"2022-02-15 13:07:09+03"
35,11,"2022-02-15 13:07:09+03"
36,2,"2022-02-15 13:07:09+03"
37,4,"2022-02-15 13:07:09+03"
38,1,"2022-02-15 13:07:09+03"
39,14,"2022-02-15 13:07:09+03"
40,6,"2022-02-15 13:07:09+03"
41,16,"2022-02-15 13:07:09+03"
42,15,"2022-02-15 13:07:09+03"
43,8,"2022-02-15 13:07:09+03"
44,14,"2022-02-15 13:07:09+03"
45,13,"2022-02-15 13:07:09+03"
46,10,"2022-02-15 13:07:09+03"
47,9,"2022-02-15 13:07:09+03"
48,3,"2022-02-15 13:07:09+03"
49,14,"2022-02-15 13:07:09+03"
50,8,"2022-02-15 13:07:09+03"
