DATE,WIND,IND,RAIN,IND_1,T_MAX,IND_2,T_MIN,T_MIN_G
1961/1/1,13.67,0,0.2,0,9.5,0,3.7,-1
1961/1/2,11.5,0,5.1,0,7.2,0,4.2,1.1
1961/1/3,11.25,0,0.4,0,5.5,0,0.5,-0.5
1961/1/4,8.63,0,0.2,0,5.6,0,0.4,-3.2
1961/1/5,11.92,0,10.4,0,7.2,1,-1.5,-7.5
1961/1/6,10.67,0,0,0,6.5,0,1.2,-2
1961/1/7,9.17,0,1.9,0,9.2,1,-2.4,-7.1
1961/1/8,14.29,0,0,0,6.6,0,3.1,0
1961/1/9,8.04,0,8.3,0,6.8,0,2.4,-0.8
1961/1/10,11.42,0,0,0,6.5,0,3,0.5
1961/1/11,7.54,0,0.5,0,10,1,-3.1,-7.7
1961/1/12,15.54,0,6,0,12.2,1,-3.3,NA
1961/1/13,4.63,0,0,0,13.1,0,5.5,3.3
1961/1/14,3.08,0,0,0,5.6,1,-3.2,-6.1
1961/1/15,2.5,0,0,0,4.4,1,-5,-8.3
1961/1/16,9.25,0,0,0,4.6,1,-4.2,-8.3
1961/1/17,13.42,0,2,0,9.3,0,3.2,-2.7
1961/1/18,17.83,0,8.4,0,10.1,0,4.3,5.1
1961/1/19,3.71,0,0.9,0,6.6,0,1.6,-2
1961/1/20,3.17,0,21.5,0,9.3,1,-0.6,-5.4
1961/1/21,8.04,0,0.2,0,10.1,0,1.6,0.4
1961/1/22,9.38,0,0.3,0,6.5,0,5.5,1.3
1961/1/23,13.7,0,0,0,6.5,0,5.5,2.2
1961/1/24,20.38,0,9.5,0,5.3,0,3.4,0.5
1961/1/25,9.25,0,0,0,4.3,0,2.2,1.1
1961/1/26,14.33,0,0.7,0,13,0,2.2,-1.6
1961/1/27,16.79,0,1.5,0,12.3,0,3.7,2.7
1961/1/28,12.25,0,2.8,0,12,0,4.8,-2.2
1961/1/29,22,0,6.2,0,12.6,0,4.4,1.2
1961/1/30,14.5,0,1.4,0,7.8,0,3.7,0.8
1961/1/31,14.88,0,4.7,0,7.2,0,2.1,-0.5
1961/2/1,10.17,0,2.1,0,8.7,0,1,-2.2
1961/2/2,10.88,0,0.1,0,8.1,0,1,1
1961/2/3,8.5,0,4,0,8.1,1,-0.6,-5
1961/2/4,12.54,0,5.7,0,11.3,0,0,-1.1
1961/2/5,13.96,0,8.6,0,13.5,0,4.7,2.1
1961/2/6,19.17,0,0.5,0,7.8,0,2.1,1.5
1961/2/7,14.21,0,0.3,0,11.6,0,3.2,0.7
1961/2/8,16.5,0,4.4,0,14.6,0,4.4,2.4
1961/2/9,14.37,0,0.3,0,11.7,0,6.4,3.2
1961/2/10,11.08,0,0.8,0,10.7,0,7.3,3.1
1961/2/11,17.5,0,3.5,0,11.3,0,7.3,3.8
1961/2/12,11.71,0,0,0,15.5,0,7.1,4.3
1961/2/13,16.08,0,0,0,12.7,0,8.8,6
1961/2/14,15.46,0,0,0,13.3,0,10,7.7
1961/2/15,5.17,0,0,0,13.8,0,2.5,-3.3
1961/2/16,3.42,0,0,0,12.1,0,2.5,-2.6
1961/2/17,6.17,0,0,0,11.7,0,4.4,-0.4
1961/2/18,10.88,0,0,0,13.3,0,6,4.3
1961/2/19,9.62,0,0,0,14.5,0,8.2,-0.4
1961/2/20,7.25,0,0,0,13.1,0,5.3,-1.5
1961/2/21,3.75,0,0,0,8.6,0,4.7,-2.1
1961/2/22,8.25,0,0,0,7.5,0,5.1,2.5
1961/2/23,16.38,0,4.6,0,8.8,0,5.1,2.2
1961/2/24,8.17,0,0.7,0,11,0,6.1,4.4
1961/2/25,13.08,0,3.2,0,9.8,0,2.7,-1.3
1961/2/26,21.17,0,2.1,0,14.5,0,5.2,1
1961/2/27,12.75,0,3.1,0,10.1,0,4.8,1.1
1961/2/28,14.75,0,1,0,10.6,0,3.8,0.7
1961/3/1,10.25,0,0.7,0,12.7,0,8.1,5
1961/3/2,10.88,0,0,0,12.2,0,7.2,4.3
1961/3/3,11.29,0,0,0,12.2,0,3,-1.6
1961/3/4,6.21,0,0,0,11.8,0,2.8,0.5
1961/3/5,5.5,0,0,0,17.2,0,0,-3.2
1961/3/6,2.83,0,0,0,14.4,0,4.3,1.3
1961/3/7,3.63,0,0,0,14.7,0,6,2.3
1961/3/8,1.71,0,0,0,15.1,0,4.4,0.8
1961/3/9,3.75,0,0,0,14.2,0,6.1,1.6
1961/3/10,8.79,0,0,0,11.8,0,6.7,3.8
1961/3/11,10.34,0,0,0,14.6,0,5.7,2.4
1961/3/12,17.12,0,0.1,0,13.4,0,4.8,NA
1961/3/13,13.96,0,0,0,15.5,0,10.5,9
1961/3/14,8.12,0,0,0,15.5,0,9.5,5
1961/3/15,11.54,0,0,0,16.2,0,7.1,0.5
1961/3/16,2.75,0,0,0,18.8,0,2.2,-1.2
1961/3/17,13,0,0,0,9.7,0,2.1,-1.5
1961/3/18,13.17,0,0.5,0,10.2,0,2.8,0.4
1961/3/19,7.75,0,0,2,9.6,0,3.3,-1.6
1961/3/20,15.41,0,0,0,11.8,0,2.3,-2.2
1961/3/21,8.17,0,0,0,10.3,0,1.7,-1.7
1961/3/22,8,0,0,0,12.7,0,3.1,-1.8
1961/3/23,10.88,0,0,0,9.4,0,5.5,5
1961/3/24,8.46,0,0,0,14.5,0,6.1,5.2
1961/3/25,10.75,0,0,0,12.2,0,3.2,-1.6
1961/3/26,13.75,0,0.3,0,11.8,0,8.4,5.5
1961/3/27,6.75,0,0,0,11.7,1,-0.8,-5
1961/3/28,10.88,0,1.1,0,13.3,0,0.4,-2.6
1961/3/29,16.62,0,1.8,0,14.7,2,7.5,5.5
1961/3/30,14.79,0,1.8,0,13.8,0,9.5,8.6
1961/3/31,11.92,0,1.1,0,14.5,0,7.1,2.7
1961/4/1,11.67,0,2.5,0,13.7,0,8.8,7.7
1961/4/2,5.25,0,0,0,10.3,0,5.2,5
1961/4/3,5.5,0,2.6,0,6.6,0,3.4,3.2
1961/4/4,6,0,9.6,0,10.8,0,3.8,1.6
