MENU_ID,MENU_TYPE_ID,MENU_TYPE,TRUCK_BRAND_NAME,MENU_ITEM_ID,MENU_ITEM_NAME,ITEM_CATEGORY,ITEM_SUBCATEGORY,COST_OF_GOODS_USD,SALE_PRICE_USD,"MENU_ITEM_HEALTH_METRICS_OBJ"
10001,1,"Ice Cream","Freezing Point",10,Lemonade,Beverage,"Cold Option",1,4,"""{\""menu_item_health_metrics\"":[{\""ingredients\"":[\""Lemons\"",\""Sugar\"",\""Water\""],\""is_dairy_free_flag\"":\""Y\"",\""is_gluten_free_flag\"":\""Y\"",\""is_healthy_flag\"":\""N\"",\""is_nut_free_flag\"":\""Y\""}],\""menu_item_id\"":10}"""
10002,1,"Ice Cream","Freezing Point",11,"Sugar Cone",Dessert,"Cold Option",3,6,"""{\""menu_item_health_metrics\"":[{\""ingredients\"":[\""One Scoop\"",\""Sugar Cone\""],\""is_dairy_free_flag\"":\""Y\"",\""is_gluten_free_flag\"":\""Y\"",\""is_healthy_flag\"":\""N\"",\""is_nut_free_flag\"":\""Y\""}],\""menu_item_id\"":11}"""
10003,1,"Ice Cream","Freezing Point",12,"Waffle Cone",Dessert,"Cold Option",3,6,"""{\""menu_item_health_metrics\"":[{\""ingredients\"":[\""One Scoop\"",\""Waffle Cone\""],\""is_dairy_free_flag\"":\""N\"",\""is_gluten_free_flag\"":\""N\"",\""is_healthy_flag\"":\""N\"",\""is_nut_free_flag\"":\""Y\""}],\""menu_item_id\"":12}"""
10004,1,"Ice Cream","Freezing Point",13,"Two Scoop Bowl",Dessert,"Cold Option",3,7,"""{\""menu_item_health_metrics\"":[{\""ingredients\"":[\""Two Scoops\""],\""is_dairy_free_flag\"":\""N\"",\""is_gluten_free_flag\"":\""Y\"",\""is_healthy_flag\"":\""N\"",\""is_nut_free_flag\"":\""Y\""}],\""menu_item_id\"":13}"""
10005,1,"Ice Cream","Freezing Point",14,"Bottled Water",Beverage,"Cold Option",1,2,"""{\""menu_item_health_metrics\"":[{\""ingredients\"":[\""12 Oz Bottle Water\""],\""is_dairy_free_flag\"":\""Y\"",\""is_gluten_free_flag\"":\""Y\"",\""is_healthy_flag\"":\""Y\"",\""is_nut_free_flag\"":\""Y\""}],\""menu_item_id\"":14}"""
10006,1,"Ice Cream","Freezing Point",15,"Bottled Soda",Beverage,"Cold Option",1,3,"""{\""menu_item_health_metrics\"":[{\""ingredients\"":[\""12 Oz Bottle Soda\""],\""is_dairy_free_flag\"":\""Y\"",\""is_gluten_free_flag\"":\""Y\"",\""is_healthy_flag\"":\""N\"",\""is_nut_free_flag\"":\""Y\""}],\""menu_item_id\"":15}"""
10007,1,"Ice Cream","Freezing Point",16,"Ice Tea",Beverage,"Cold Option",1,3,"""{\""menu_item_health_metrics\"":[{\""ingredients\"":[\""12 Oz Bottle Ice Tea\""],\""is_dairy_free_flag\"":\""Y\"",\""is_gluten_free_flag\"":\""Y\"",\""is_healthy_flag\"":\""N\"",\""is_nut_free_flag\"":\""Y\""}],\""menu_item_id\"":16}"""
10008,1,"Ice Cream","Freezing Point",17,"Ice Cream Sandwich",Dessert,"Cold Option",1,4,"""{\""menu_item_health_metrics\"":[{\""ingredients\"":[\""Ice Cream Sandwich\""],\""is_dairy_free_flag\"":\""N\"",\""is_gluten_free_flag\"":\""N\"",\""is_healthy_flag\"":\""N\"",\""is_nut_free_flag\"":\""Y\""}],\""menu_item_id\"":17}"""
10009,1,"Ice Cream","Freezing Point",18,"Mango Sticky Rice",Dessert,"Cold Option",1,5,"""{\""menu_item_health_metrics\"":[{\""ingredients\"":[\""Sweet Mango\"",\""Sticky Salted Rice\"",\""Coconut Milk\"",\""Sesame Seeds\""],\""is_dairy_free_flag\"":\""N\"",\""is_gluten_free_flag\"":\""N\"",\""is_healthy_flag\"":\""N\"",\""is_nut_free_flag\"":\""Y\""}],\""menu_item_id\"":18}"""
10010,1,"Ice Cream","Freezing Point",19,Popsicle,Dessert,"Cold Option",1,3,"""{\""menu_item_health_metrics\"":[{\""ingredients\"":[\""Popsicle\""],\""is_dairy_free_flag\"":\""Y\"",\""is_gluten_free_flag\"":\""Y\"",\""is_healthy_flag\"":\""N\"",\""is_nut_free_flag\"":\""Y\""}],\""menu_item_id\"":19}"""
